shipment_id,origin_district,destination_district,origin_terrain,destination_terrain,distance_km,shipping_mode,shipment_volume_units,inventory_level_units,demand_units,warehouse_processing_days,weather_delay,traffic_delay,road_condition,carrier_rating,scheduled_delivery_days,actual_delivery_days,transportation_cost_inr,late_delivery
UKL10001,Almora,Rudraprayag,Mid-Hill,High-Hill,215.1,Standard,5,46.8,59.7,0.77,0,0,Good,3.13,4.5,5.42,748.57,1
UKL10002,Pauri Garhwal,Tehri Garhwal,Mid-Hill,Mid-Hill,308.9,First Class,5,79.9,36.4,1.03,0,0,Poor,4.46,2.8,4.13,1214.63,1
UKL10003,Pithoragarh,Bageshwar,High-Hill,Mid-Hill,1008.3500000000001,Second Class,5,92.1,103.8,0.9,0,1,Good,4.38,3.8,5.33,997.77,1
UKL10004,Pauri Garhwal,Almora,Mid-Hill,Mid-Hill,349.2,First Class,8,33.5,81.6,0.79,0,0,Moderate,3.76,2.8,3.73,1322.43,1
UKL10005,Chamoli,Champawat,High-Hill,Mid-Hill,383.6,Second Class,8,104.7,72.1,1.01,0,0,Poor,,3.8,6.56,1288.94,1
UKL10006,Chamoli,Haridwar,High-Hill,Plain/Lower Hill,336.7,Second Class,12,104.1,74.3,1.33,0,1,Moderate,3.9,3.8,6.41,1231.35,1
UKL10007,Uttarkashi,Pauri Garhwal,High-Hill,Mid-Hill,329.8,First Class,6,73.2,79.7,1.32,0,0,Good,4.41,2.8,3.95,1162.7,1
UKL10008,Nainital,Uttarkashi,Mid-Hill,High-Hill,518.6,Same Day,9,29.9,100.4,1.65,1,1,Moderate,3.89,1.2,4.3,1799.69,1
UKL10009,Rudraprayag,Champawat,High-Hill,Mid-Hill,218.2,Standard,13,53.3,105.3,1.51,1,0,Good,4.33,4.5,6.53,1033.41,1
UKL10010,Rudraprayag,Pauri Garhwal,High-Hill,Mid-Hill,350.0,Standard,6,85.1,60.1,1.28,0,1,Moderate,3.66,4.5,6.89,1160.9,1
UKL10011,Almora,Haridwar,Mid-Hill,Plain/Lower Hill,409.7,Second Class,6,116.6,88.8,1.06,0,0,Moderate,4.73,3.8,5.63,1371.5,1
UKL10012,Dehradun,Pauri Garhwal,Plain/Lower Hill,Mid-Hill,293.1,Same Day,14,77.9,99.7,1.19,0,0,Good,2.93,1.2,2.12,1461.91,1
UKL10013,Haridwar,Udham Singh Nagar,Plain/Lower Hill,Plain/Lower Hill,157.1,Second Class,5,78.5,96.8,1.8,0,0,Moderate,3.61,3.8,5.85,894.46,1
UKL10014,Dehradun,Bageshwar,Plain/Lower Hill,Mid-Hill,156.6,First Class,12,85.0,76.3,,0,0,Moderate,4.66,2.8,5.1,964.5,1
UKL10015,Udham Singh Nagar,Champawat,Plain/Lower Hill,Mid-Hill,233.5,Second Class,11,93.6,71.8,1.24,0,0,Good,4.35,3.8,5.43,1023.8,1
UKL10016,Bageshwar,Uttarkashi,Mid-Hill,High-Hill,461.8,Same Day,9,55.3,103.4,0.74,0,0,,4.85,1.2,3.04,1673.42,1
UKL10017,Dehradun,Nainital,Plain/Lower Hill,Mid-Hill,287.7,Standard,8,72.3,37.5,1.08,0,0,Moderate,4.22,4.5,5.91,991.09,1
UKL10018,Udham Singh Nagar,Pauri Garhwal,Plain/Lower Hill,Mid-Hill,212.2,First Class,10,121.7,84.2,1.58,0,0,Poor,4.35,2.8,4.04,1131.61,1
UKL10019,Udham Singh Nagar,Pauri Garhwal,Plain/Lower Hill,Mid-Hill,331.4,Same Day,8,102.1,96.8,0.79,0,0,Good,4.47,1.2,2.52,1333.13,1
UKL10020,Almora,Rudraprayag,Mid-Hill,High-Hill,129.4,First Class,7,82.7,19.8,0.88,0,0,Moderate,4.32,2.8,2.73,749.67,0
UKL10021,Uttarkashi,Bageshwar,High-Hill,Mid-Hill,325.3,Second Class,10,29.8,87.3,1.19,0,0,Good,4.91,3.8,5.18,1053.79,1
UKL10022,Champawat,Almora,Mid-Hill,Mid-Hill,163.8,Standard,14,71.3,41.5,1.15,0,0,Good,4.08,4.5,5.69,864.68,1
UKL10023,Nainital,Udham Singh Nagar,Mid-Hill,Plain/Lower Hill,327.6,Standard,12,86.6,63.1,1.08,0,1,Poor,4.76,4.5,7.25,1248.11,1
UKL10024,Dehradun,Almora,Plain/Lower Hill,Mid-Hill,203.3,Standard,14,64.5,60.3,1.31,0,0,Good,3.52,4.5,6.81,901.49,1
UKL10025,Almora,Haridwar,Mid-Hill,Plain/Lower Hill,315.9,Standard,9,72.6,50.2,1.04,0,0,Good,3.27,4.5,5.4,1029.9,1
UKL10026,Haridwar,Almora,Plain/Lower Hill,Mid-Hill,215.2,Second Class,9,111.4,25.7,1.01,0,1,Good,4.55,3.8,5.45,917.42,1
UKL10027,Champawat,Rudraprayag,Mid-Hill,High-Hill,353.2,Standard,5,82.9,81.9,,0,0,Moderate,4.41,4.5,6.2,4202.16,1
UKL10028,Udham Singh Nagar,Uttarkashi,Plain/Lower Hill,High-Hill,343.5,Standard,7,71.8,90.2,1.01,0,0,Moderate,3.52,4.5,6.1,1110.42,1
UKL10029,Dehradun,Pithoragarh,Plain/Lower Hill,High-Hill,273.2,Same Day,3,102.7,56.0,1.24,0,0,Moderate,4.03,1.2,3.44,1288.16,1
UKL10030,Champawat,Dehradun,Mid-Hill,Plain/Lower Hill,96.9,Standard,11,73.1,52.9,0.89,0,1,Good,3.6,4.5,6.87,646.3,1
UKL10031,Chamoli,Uttarkashi,High-Hill,High-Hill,298.0,First Class,5,122.6,82.1,0.99,1,0,Moderate,4.01,2.8,4.49,1159.13,1
UKL10032,Nainital,Bageshwar,Mid-Hill,Mid-Hill,164.0,First Class,8,110.7,38.9,2.06,1,0,Good,3.65,2.8,5.53,886.16,1
UKL10033,Udham Singh Nagar,Nainital,Plain/Lower Hill,Mid-Hill,116.1,Second Class,7,98.6,77.3,0.62,0,0,Moderate,3.27,3.8,4.91,694.2,1
UKL10034,Tehri Garhwal,Dehradun,Mid-Hill,Plain/Lower Hill,378.6,Same Day,5,80.1,92.2,0.22,0,0,Moderate,4.4,1.2,1.82,1376.65,1
UKL10035,Almora,Dehradun,Mid-Hill,Plain/Lower Hill,163.1,Standard,13,106.8,89.8,1.04,0,1,Good,4.05,4.5,6.07,762.18,1
