origin_district,destination_district,shipments,high_risk_shipments,avg_predicted_delivery,avg_scheduled_delivery,risk_rate
Champawat,Pithoragarh,3,3,5.398717277615887,5.066666666666667,100.0
Rudraprayag,Pauri Garhwal,2,2,6.857737562510872,6.4,100.0
Chamoli,Uttarkashi,4,3,5.804831992199342,5.625,75.0
Rudraprayag,Bageshwar,4,3,6.033554630703513,5.9750000000000005,75.0
Uttarkashi,Chamoli,6,4,5.489231994392227,5.333333333333333,66.66666666666667
Uttarkashi,Nainital,6,4,6.070007208619951,6.050000000000001,66.66666666666667
Pauri Garhwal,Champawat,3,2,6.233002847186083,6.166666666666667,66.66666666666667
Pithoragarh,Uttarkashi,8,5,4.921181420335859,4.775,62.5
Champawat,Chamoli,10,6,5.635972767637725,5.680000000000001,60.0
Champawat,Uttarkashi,5,3,6.1481392948374545,6.12,60.0
Haridwar,Chamoli,5,3,5.066345638131106,5.26,60.0
Tehri Garhwal,Uttarkashi,12,7,5.250308648549712,5.366666666666667,58.333333333333336
Chamoli,Pithoragarh,7,4,5.640299833591357,5.485714285714287,57.142857142857146
Almora,Rudraprayag,9,5,5.8710661310191075,6.022222222222222,55.55555555555556
Nainital,Chamoli,9,5,6.1446803535193855,5.866666666666667,55.55555555555556
Almora,Chamoli,14,7,5.469012616093847,5.464285714285714,50.0
Chamoli,Pauri Garhwal,8,4,5.102338108821176,5.2625,50.0
Chamoli,Almora,6,3,5.638937123554352,5.833333333333333,50.0
Chamoli,Champawat,6,3,4.9702996523895235,5.216666666666667,50.0
Haridwar,Uttarkashi,6,3,6.038804976319106,6.116666666666667,50.0
Pithoragarh,Rudraprayag,6,3,5.56981302793972,5.45,50.0
Rudraprayag,Nainital,6,3,5.170045148406783,5.2,50.0
Uttarkashi,Rudraprayag,6,3,6.2782041330626726,6.116666666666667,50.0
Chamoli,Haridwar,4,2,5.309516093208115,5.4,50.0
Uttarkashi,Almora,4,2,5.627324680594795,5.875,50.0
Bageshwar,Pithoragarh,7,3,5.828212463573613,5.928571428571429,42.857142857142854
Champawat,Nainital,7,3,5.392057492583301,5.485714285714286,42.857142857142854
Dehradun,Rudraprayag,7,3,5.664372766434073,5.685714285714286,42.857142857142854
Nainital,Rudraprayag,7,3,5.29019216680411,5.514285714285714,42.857142857142854
Pauri Garhwal,Pithoragarh,7,3,5.428238190064805,5.571428571428571,42.857142857142854
Pithoragarh,Chamoli,7,3,5.360469433044473,5.571428571428571,42.857142857142854
Bageshwar,Champawat,5,2,5.459824814911412,5.6,40.0
Bageshwar,Rudraprayag,5,2,6.230800294481523,6.26,40.0
Rudraprayag,Pithoragarh,5,2,5.08180827854239,5.26,40.0
Rudraprayag,Tehri Garhwal,5,2,5.551305490879675,5.6,40.0
Tehri Garhwal,Champawat,5,2,5.969891487051184,6.26,40.0
Udham Singh Nagar,Chamoli,5,2,5.576496541126259,5.840000000000001,40.0
Uttarkashi,Pithoragarh,8,3,6.059163904691471,6.1375,37.5
Haridwar,Rudraprayag,11,4,5.5720999149394395,5.754545454545455,36.36363636363637
Pauri Garhwal,Almora,11,4,5.6515378883125695,5.836363636363637,36.36363636363637
Udham Singh Nagar,Uttarkashi,15,5,5.202709123585239,5.373333333333334,33.333333333333336
Almora,Pithoragarh,6,2,5.854390870902642,6.116666666666667,33.333333333333336
Chamoli,Tehri Garhwal,6,2,5.81066589412072,6.0,33.333333333333336
Almora,Udham Singh Nagar,3,1,5.1168733763323875,5.6000000000000005,33.333333333333336
Bageshwar,Almora,3,1,6.322485383559737,6.400000000000001,33.333333333333336
Nainital,Pauri Garhwal,3,1,5.735052006462695,6.166666666666667,33.333333333333336
Rudraprayag,Haridwar,3,1,5.00286652250433,5.066666666666667,33.333333333333336
Uttarkashi,Tehri Garhwal,3,1,6.102522922532995,6.400000000000001,33.333333333333336
Chamoli,Nainital,13,4,5.66660482904469,5.8307692307692305,30.76923076923077
Nainital,Uttarkashi,10,3,5.26383060465981,5.26,30.0
Pauri Garhwal,Uttarkashi,10,3,5.635382881999908,5.66,30.0
Rudraprayag,Champawat,11,3,5.79379640322499,5.990909090909091,27.272727272727273
Almora,Champawat,8,2,5.509803962629514,5.8875,25.0
Pithoragarh,Champawat,8,2,5.273240511651096,5.5875,25.0
